"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4025:401::bc","TCP","75","62695  >  5228 [ACK] Seq=1 Ack=1 Win=514 Len=1"
"2","0.066898","2a00:1450:4025:401::bc","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","86","5228  >  62695 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"3","1.615144","HeightsT_99:7d:3b","Broadcast","0x1ee4","206","Ethernet II"
"4","2.613556","34.85.166.233","10.0.0.7","TLSv1.2","81","Application Data"
"5","2.615025","10.0.0.7","34.85.166.233","TLSv1.2","85","Application Data"
"6","2.762972","34.85.166.233","10.0.0.7","TCP","56","443  >  52065 [ACK] Seq=28 Ack=32 Win=331 Len=0"
"7","3.730590","34.85.166.233","10.0.0.7","TLSv1.2","82","Application Data"
"8","3.731303","10.0.0.7","34.85.166.233","TLSv1.2","86","Application Data"
"9","3.765518","10.0.0.4","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"10","3.879004","34.85.166.233","10.0.0.7","TCP","56","443  >  52065 [ACK] Seq=56 Ack=64 Win=331 Len=0"
"11","4.006742","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c8:face:b00c:0:167","TLSv1.2","144","Application Data"
"12","4.053372","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","443  >  51770 [ACK] Seq=1 Ack=71 Win=600 Len=0"
"13","4.072710","10.0.0.4","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"14","4.140554","2a03:2880:f242:c8:face:b00c:0:167","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TLSv1.2","146","Application Data"
"15","4.194206","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c8:face:b00c:0:167","TCP","74","51770  >  443 [ACK] Seq=71 Ack=73 Win=515 Len=0"
"16","4.687138","10.0.0.4","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"17","5.301472","10.0.0.4","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"18","5.608678","10.0.0.4","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"19","6.223057","10.0.0.4","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"20","6.757139","10.0.0.7","76.223.31.44","TCP","55","51885  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1 [TCP segment of a reassembled PDU]"
"21","6.835049","76.223.31.44","10.0.0.7","TCP","66","443  >  51885 [ACK] Seq=1 Ack=2 Win=180 Len=0 SLE=1 SRE=2"
"22","6.839475","10.0.0.4","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"23","6.882824","10.0.0.7","13.226.2.114","TCP","55","52066  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]"
"24","6.893244","13.226.2.114","10.0.0.7","TCP","66","443  >  52066 [ACK] Seq=1 Ack=2 Win=134 Len=0 SLE=1 SRE=2"
"25","7.144573","10.0.0.4","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"26","9.909408","HeightsT_99:7d:3b","Broadcast","0x1ee4","206","Ethernet II"
"27","10.220676","HeightsT_99:7d:3b","Broadcast","ARP","60","Who has 10.0.0.4? Tell 10.0.0.138"
"28","10.220676","HeightsT_99:7d:3b","Broadcast","ARP","60","Who has 10.0.0.11? Tell 10.0.0.138"
"29","10.220676","HeightsT_99:7d:3b","Broadcast","ARP","60","Who has 10.0.0.3? Tell 10.0.0.138"
"30","10.220676","HeightsT_99:7d:3b","Broadcast","ARP","60","Who has 10.0.0.7? Tell 10.0.0.138"
"31","10.220676","HeightsT_99:7d:3b","Broadcast","ARP","60","Who has 10.0.0.2? Tell 10.0.0.138"
"32","10.220800","IntelCor_8e:ca:bf","HeightsT_99:7d:3b","ARP","42","10.0.0.7 is at 68:54:5a:8e:ca:bf"
"33","10.222898","10.0.0.138","10.0.0.7","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"34","10.222987","10.0.0.7","10.0.0.138","NBNS","199","Name query response NBSTAT"
"35","10.764967","2a00:1450:4028:800::200a","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","123","443  >  51173 Len=61"
"36","10.764967","2a00:1450:4028:800::200a","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","97","443  >  51173 Len=35"
