"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","34.228.253.160","10.0.0.7","TCP","60","443  >  56591 [ACK] Seq=1 Ack=1 Win=115 Len=0"
"2","0.080760","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a00:1450:4028:800::200a","UDP","91","53991  >  443 Len=29"
"3","0.093078","2a00:1450:4028:800::200a","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","87","443  >  53991 Len=25"
"4","1.352974","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a06:c700:2002::f","UDP","1136","52566  >  443 Len=1074"
"5","1.369947","2a06:c700:2002::f","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","91","443  >  52566 Len=29"
"6","1.371261","2a06:c700:2002::f","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","177","443  >  52566 Len=115"
"7","1.371261","2a06:c700:2002::f","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","1287","443  >  52566 Len=1225"
"8","1.371261","2a06:c700:2002::f","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","1292","443  >  52566 Len=1230"
"9","1.371506","2a06:c700:2002::f","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","1292","443  >  52566 Len=1230"
"10","1.371506","2a06:c700:2002::f","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","1292","443  >  52566 Len=1230"
"11","1.371758","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","2a06:c700:2002::f","UDP","98","52566  >  443 Len=36"
"12","1.371816","2a06:c700:2002::f","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","1292","443  >  52566 Len=1230"
"13","1.371816","2a06:c700:2002::f","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","1292","443  >  52566 Len=1230"
"14","1.371816","2a06:c700:2002::f","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","1292","443  >  52566 Len=1230"
"15","1.372140","2a06:c700:2002::f","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","1292","443  >  52566 Len=1230"
"16","1.372140","2a06:c700:2002::f","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","1292","443  >  52566 Len=1230"
"17","1.372140","2a06:c700:2002::f","2a06:c701:46db:1a00:3579:6b2d:86a0:29fe","UDP","1292","443  >  52566 Len=1230"
