"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","54.83.164.46","10.0.0.7","TLSv1.2","89","Application Data"
"2","0.000650","10.0.0.7","54.83.164.46","TLSv1.2","93","Application Data"
"3","0.058891","2a03:2880:f242:1c2:face:b00c:0:167","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TLSv1.2","323","Application Data"
"4","0.114531","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:1c2:face:b00c:0:167","TCP","74","57484  >  443 [ACK] Seq=1 Ack=250 Win=513 Len=0"
"5","0.126925","20.199.120.182","10.0.0.7","TLSv1.2","433","Application Data"
"6","0.142981","10.0.0.7","20.199.120.182","TLSv1.2","189","Application Data"
"7","0.149114","54.83.164.46","10.0.0.7","TCP","54","443  >  58710 [ACK] Seq=36 Ack=40 Win=180 Len=0"
"8","0.176584","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:802::200a","UDP","91","58775  >  443 Len=29"
"9","0.191131","2a00:1450:4028:802::200a","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","UDP","87","443  >  58775 Len=25"
"10","0.194241","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:1c2:face:b00c:0:167","TCP","74","58754  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1019 Len=0"
"11","0.243570","2a03:2880:f242:1c2:face:b00c:0:167","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","443  >  58754 [RST] Seq=1 Win=0 Len=0"
"12","0.261571","20.199.120.182","10.0.0.7","TCP","54","443  >  49600 [ACK] Seq=380 Ack=136 Win=8057 Len=0"
"13","0.396028","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","86","58761  >  80 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"14","0.446848","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","86","80  >  58761 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"15","0.447104","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","74","58761  >  80 [ACK] Seq=1 Ack=1 Win=66816 Len=0"
"16","0.449537","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","495","58761  >  80 [PSH, ACK] Seq=1 Ack=1 Win=66816 Len=421 [TCP segment of a reassembled PDU]"
"17","0.510896","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","74","80  >  58761 [ACK] Seq=1 Ack=422 Win=66816 Len=0"
"18","0.596252","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","203","80  >  58761 [PSH, ACK] Seq=1 Ack=422 Win=66816 Len=129 [TCP segment of a reassembled PDU]"
"19","0.619038","2a03:2880:f242:c6:face:b00c:0:7260","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","TCP","137","80  >  58761 [PSH, ACK] Seq=130 Ack=422 Win=66816 Len=63 [TCP segment of a reassembled PDU]"
"20","0.619295","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a03:2880:f242:c6:face:b00c:0:7260","TCP","74","58761  >  80 [ACK] Seq=422 Ack=193 Win=66560 Len=0"
